short_id,fetch_date,player_name,league_point,master_rating,league_rank,battle_hub_match_play_count,casual_match_play_count,corner_time,cornered_time,custom_room_match_play_count,drive_impact,drive_impact_to_drive_impact,drive_parry,drive_reversal,gauge_rate_ca,gauge_rate_drive_arts,gauge_rate_drive_guard,gauge_rate_drive_impact,gauge_rate_drive_other,gauge_rate_drive_reversal,gauge_rate_drive_rush_from_cancel,gauge_rate_drive_rush_from_parry,gauge_rate_sa_lv1,gauge_rate_sa_lv2,gauge_rate_sa_lv3,just_parry,punish_counter,rank_match_play_count,received_drive_impact,received_drive_impact_to_drive_impact,received_punish_counter,received_stun,received_throw_count,received_throw_drive_parry,rival_ai_achieved_challenge_count,rival_ai_highest_league_rank,rival_ai_highest_league_rank_txt,stun,target_clear_count,throw_count,throw_drive_parry,throw_tech,total_all_character_play_point
2045377733,2026/3/14,カンフーマスターpc,269928,2151,36,0,0,12.9,7.1,111,0.3,0,1.4,0.1,0.0795,0.2557,0.1905,0.0352,0.3571,0.0123,0.0315,0.1173,0.1818,0.4318,0.3068,0.5,0.1,13250,0.1,0,0.1,0,2.4,0.2,0,36,Master,0.1,24,2.7,0.4,0.7,417938
2215317639,2026/3/14,JACK_DOLL,837307,2199,36,1071,0,8.6,9.2,4498,0.2,0,1.6,0.1,0.1309,0.1863,0.1508,0.0136,0.2691,0.0099,0.2776,0.0923,0.2976,0.0476,0.5238,0.6,0.1,54305,0.1,0,0.1,0.1,2,0.2,0,36,Master,0,199,1.9,0.1,0.5,1737497
2963698637,2026/3/14,SURINI,475360,1780,36,195,43,15.2,8.3,1850,0.2,0,1.3,0.2,0.1075,0.2047,0.1469,0.0214,0.1904,0.0142,0.3143,0.1077,0.1182,0.1505,0.6236,0.5,0.1,34055,0.1,0,0.1,0,2.3,0.2,0,36,Master,0.1,134,3.2,0.2,0.4,1075523
1275506101,2026/3/14,GjijiiG,864802,2196,36,4141,511,11.8,6.6,12129,0.1,0,0.9,0.3,0.0947,0.2362,0.1679,0.0191,0.2016,0.0243,0.215,0.1357,0.2842,0.2736,0.3473,0.2,0,55970,0.1,0,0.1,0,2.3,0.2,7,36,Master,0.2,288,2.1,0.5,0.8,2027099
1443977771,2026/3/14,Dual_Kevin,613406,2191,36,208,18,14.5,10.3,23173,0.1,0,1.8,0.5,0.05,0.1779,0.1117,0.0079,0.3295,0.039,0.2788,0.0548,0.29,0.51,0.15,0.9,0,16256,0.2,0,0.1,0.1,2.5,0.2,0,0,-,0,67,2,0.3,0.4,742484
2813808454,2026/3/14,Cedric,81674,2188,36,0,0,17,5.8,85,0.3,0.1,1.5,0,0.0257,0.2334,0.0906,0.0233,0.2601,0,0.349,0.0434,0.7628,0.0463,0.1649,0.6,0.2,1873,0.1,0,0.1,0,2.7,0,0,0,-,0,3,6.3,0.5,2.2,56546
2844369681,2026/3/14,光のZeno,471426,2187,36,1426,838,17,8.4,39516,0.3,0,2.3,0.1,0,0.321,0.1565,0.025,0.1691,0.0083,0.2269,0.0928,0.0955,0.8235,0.0808,0.7,0.1,9210,0.1,0,0.1,0,1.5,0.2,2,36,Master,0.3,354,3.4,0.5,0.2,831548
2066976238,2026/3/14,さうたむ | 3S,990181,2184,36,10246,523,14.3,8,6675,0.4,0,1.9,0.2,0.0973,0.1016,0.1228,0.025,0.2188,0.0151,0.4522,0.0642,0.469,0.1415,0.292,0.8,0.2,121407,0.1,0.1,0.1,0.1,2.1,0.3,1,36,Master,0.1,404,2.9,0.2,0.6,4162867
2690800233,2026/3/14,ACR Ayasaka,611263,2184,36,9,0,12.2,11.2,545,0.3,0,2.8,0.3,0.056,0.1407,0.2299,0.0163,0.2449,0.0229,0.2147,0.1302,0.4672,0.1214,0.3551,1.2,0.1,5281,0.2,0,0.1,0.1,2.2,0.3,0,36,Master,0,13,1.8,0.2,0.3,166077
1426292087,2026/3/14,ナショナル動かせ,559321,1969,36,411,427,13,8.5,11026,0.1,0,2,0.2,0.1846,0.2137,0.1107,0.0084,0.2551,0.0131,0.3507,0.0478,0.2153,0.1076,0.4923,1,0.1,37913,0.1,0,0,0,2.4,0.1,0,36,Master,0,112,1.8,0.1,0.8,1314053
2604860301,2026/3/14,enigma,17458,0,29,2538,74,9.7,11.7,7684,0.4,0.2,2.2,0.1,0.1666,0.2762,0.1789,0.0289,0.2428,0.0053,0.1712,0.0964,0.3333,0.2083,0.2916,1.1,0.3,19465,0.3,0.1,0.2,0.1,2.7,0.4,6,36,Master,0.1,262,1.9,0.2,0.7,810356
1796241996,2026/3/14,nao999q,163141,1752,36,1285,67,12.1,7.8,7187,0.2,0,1.9,0.1,0.1473,0.2521,0.1025,0.0159,0.1877,0.0056,0.383,0.0528,0.221,0.2,0.4315,0.5,0.1,39309,0.2,0,0.1,0.1,1.5,0.2,0,36,Master,0.1,212,2.4,0.2,0.2,1337631
1619335917,2026/3/14,susa,813067,2175,36,1772,4372,10.3,10.1,5825,0.2,0,1.3,0.1,0.0422,0.2827,0.1084,0.0181,0.2026,0.0074,0.3115,0.069,0.3591,0.5211,0.0774,0.1,0.1,15153,0.2,0.1,0.1,0.1,1.5,0.2,0,36,Master,0.1,312,2.7,0.4,0.1,791461
